date,reservoir,data_type,inflow
1999-04-10,ECR,AdaTrip,57.385643005371094
1999-04-10,ECR,GCN_LSTM,115.6438217163086
1999-04-10,ECR,Ground_Truth,80.0
1999-04-10,LCR,AdaTrip,64.18132781982422
1999-04-10,LCR,GCN_LSTM,105.0260238647461
1999-04-10,LCR,Ground_Truth,43.0
1999-04-11,ECH,AdaTrip,181.67526245117188
1999-04-11,ECH,GCN_LSTM,146.5652618408203
1999-04-11,ECH,Ground_Truth,172.0
1999-04-11,ECR,AdaTrip,57.84546661376953
1999-04-11,ECR,GCN_LSTM,108.1756591796875
1999-04-11,ECR,Ground_Truth,96.0
1999-04-11,LCR,AdaTrip,56.74061584472656
1999-04-11,LCR,GCN_LSTM,99.8073501586914
1999-04-11,LCR,Ground_Truth,33.0
1999-04-12,ECH,AdaTrip,184.44842529296875
1999-04-12,ECH,GCN_LSTM,145.78016662597656
1999-04-12,ECH,Ground_Truth,172.0
1999-04-12,ECR,AdaTrip,56.5933723449707
1999-04-12,ECR,GCN_LSTM,106.47859191894531
1999-04-12,ECR,Ground_Truth,96.0
1999-04-12,LCR,AdaTrip,53.30894470214844
1999-04-12,LCR,GCN_LSTM,101.77140045166016
1999-04-12,LCR,Ground_Truth,36.0
1999-04-13,ECH,AdaTrip,181.6025848388672
1999-04-13,ECH,GCN_LSTM,163.44921875
1999-04-13,ECH,Ground_Truth,205.0
1999-04-13,ECR,AdaTrip,56.84696960449219
1999-04-13,ECR,GCN_LSTM,119.00202941894531
1999-04-13,ECR,Ground_Truth,56.0
1999-04-13,LCR,AdaTrip,53.572792053222656
1999-04-13,LCR,GCN_LSTM,112.54266357421875
1999-04-13,LCR,Ground_Truth,44.0
1999-04-14,ECH,AdaTrip,187.8463134765625
1999-04-14,ECH,GCN_LSTM,152.11331176757812
1999-04-14,ECH,Ground_Truth,205.0
1999-04-14,ECR,AdaTrip,60.00130844116211
1999-04-14,ECR,GCN_LSTM,109.3951187133789
1999-04-14,ECR,Ground_Truth,56.0
1999-04-14,LCR,AdaTrip,58.610652923583984
1999-04-14,LCR,GCN_LSTM,103.20577239990234
1999-04-14,LCR,Ground_Truth,50.0
1999-04-15,ECH,AdaTrip,185.31942749023438
1999-04-15,ECH,GCN_LSTM,145.90350341796875
1999-04-15,ECH,Ground_Truth,196.0
1999-04-15,ECR,AdaTrip,58.45859909057617
1999-04-15,ECR,GCN_LSTM,102.99871063232422
1999-04-15,ECR,Ground_Truth,71.0
1999-04-15,LCR,AdaTrip,59.40333938598633
1999-04-15,LCR,GCN_LSTM,102.24408721923828
1999-04-15,LCR,Ground_Truth,51.0
1999-04-16,ECH,AdaTrip,191.37158203125
1999-04-16,ECH,GCN_LSTM,157.32550048828125
1999-04-16,ECH,Ground_Truth,196.0
1999-04-16,ECR,AdaTrip,66.28697204589844
1999-04-16,ECR,GCN_LSTM,110.49034881591797
1999-04-16,ECR,Ground_Truth,71.0
1999-04-16,LCR,AdaTrip,50.47618103027344
1999-04-16,LCR,GCN_LSTM,108.25042724609375
1999-04-16,LCR,Ground_Truth,18.0
1999-04-17,ECH,AdaTrip,197.09754943847656
1999-04-17,ECH,GCN_LSTM,130.74610900878906
1999-04-17,ECH,Ground_Truth,207.0
1999-04-17,ECR,AdaTrip,69.2173080444336
1999-04-17,ECR,GCN_LSTM,96.02535247802734
1999-04-17,ECR,Ground_Truth,71.0
1999-04-17,LCR,AdaTrip,59.27826690673828
1999-04-17,LCR,GCN_LSTM,88.8710708618164
1999-04-17,LCR,Ground_Truth,83.0
1999-04-18,ECH,AdaTrip,190.22511291503906
1999-04-18,ECH,GCN_LSTM,132.7670440673828
1999-04-18,ECH,Ground_Truth,212.0
1999-04-18,ECR,AdaTrip,66.2978515625
1999-04-18,ECR,GCN_LSTM,100.29039001464844
1999-04-18,ECR,Ground_Truth,115.0
1999-04-18,LCR,AdaTrip,55.62489318847656
1999-04-18,LCR,GCN_LSTM,89.02720642089844
1999-04-18,LCR,Ground_Truth,63.0
1999-04-19,ECH,AdaTrip,186.63238525390625
1999-04-19,ECH,GCN_LSTM,135.3971405029297
1999-04-19,ECH,Ground_Truth,245.0
1999-04-19,ECR,AdaTrip,62.167293548583984
1999-04-19,ECR,GCN_LSTM,101.084228515625
1999-04-19,ECR,Ground_Truth,115.0
1999-04-19,LCR,AdaTrip,53.156890869140625
1999-04-19,LCR,GCN_LSTM,89.73947143554688
1999-04-19,LCR,Ground_Truth,28.0
1999-04-20,ECH,AdaTrip,185.53726196289062
1999-04-20,ECH,GCN_LSTM,136.66717529296875
1999-04-20,ECH,Ground_Truth,298.0
1999-04-20,ECR,AdaTrip,57.82109832763672
1999-04-20,ECR,GCN_LSTM,102.7780532836914
1999-04-20,ECR,Ground_Truth,130.0
1999-04-20,LCR,AdaTrip,48.11244201660156
1999-04-20,LCR,GCN_LSTM,92.23006439208984
1999-04-20,LCR,Ground_Truth,112.0
1999-04-21,ECH,AdaTrip,202.3542938232422
1999-04-21,ECH,GCN_LSTM,132.57107543945312
1999-04-21,ECH,Ground_Truth,333.0
1999-04-21,ECR,AdaTrip,62.17377853393555
1999-04-21,ECR,GCN_LSTM,101.45903015136719
1999-04-21,ECR,Ground_Truth,130.0
1999-04-21,LCR,AdaTrip,48.71417236328125
1999-04-21,LCR,GCN_LSTM,90.68714904785156
1999-04-21,LCR,Ground_Truth,70.0
1999-04-22,ECH,AdaTrip,207.28297424316406
1999-04-22,ECH,GCN_LSTM,131.91647338867188
1999-04-22,ECH,Ground_Truth,335.0
1999-04-22,ECR,AdaTrip,72.79120635986328
1999-04-22,ECR,GCN_LSTM,101.75237274169922
1999-04-22,ECR,Ground_Truth,126.0
1999-04-22,LCR,AdaTrip,59.443603515625
1999-04-22,LCR,GCN_LSTM,89.48001861572266
1999-04-22,LCR,Ground_Truth,64.0
1999-04-23,ECH,AdaTrip,194.9478759765625
1999-04-23,ECH,GCN_LSTM,135.11886596679688
1999-04-23,ECH,Ground_Truth,271.0
1999-04-23,ECR,AdaTrip,72.43177795410156
1999-04-23,ECR,GCN_LSTM,109.5459213256836
1999-04-23,ECR,Ground_Truth,126.0
1999-04-23,LCR,AdaTrip,61.396148681640625
1999-04-23,LCR,GCN_LSTM,87.14075469970703
1999-04-23,LCR,Ground_Truth,11.0
1999-04-24,ECH,AdaTrip,177.4752655029297
1999-04-24,ECH,GCN_LSTM,143.50494384765625
1999-04-24,ECH,Ground_Truth,346.0
1999-04-24,ECR,AdaTrip,60.5477180480957
1999-04-24,ECR,GCN_LSTM,111.85758209228516
1999-04-24,ECR,Ground_Truth,126.0
1999-04-24,LCR,AdaTrip,47.11781692504883
1999-04-24,LCR,GCN_LSTM,97.30076599121094
1999-04-24,LCR,Ground_Truth,50.0
1999-04-25,ECH,AdaTrip,164.49378967285156
1999-04-25,ECH,GCN_LSTM,149.8727569580078
1999-04-25,ECH,Ground_Truth,246.0
1999-04-25,ECR,AdaTrip,55.495216369628906
1999-04-25,ECR,GCN_LSTM,116.8174819946289
1999-04-25,ECR,Ground_Truth,90.0
